Stop Initial,Sequence Number
AB,122
AC,39
AG,27
AI,16
AU,8
AW,72
AY,62
BB,5
BE,84
BF,51
BL,29
BM,32
BO,65
BW,138
BY,10
CA,108
CR,7
CY,56
DA,2
DD,92
DG,15
DL,101
DO,119
DY,121
EB,94
EC,141
EF,136
EP,21
EW,52
FF,13
FH,49
FI,79
FM,127
FO,99
FY,50
FZ,33
GA,133
GB,78
GJ,132
GK,28
GP,120
GQ,48
GV,98
HA,111
HC,71
HH,23
HJ,137
HL,25
HQ,88
HZ,61
ID,18
IF,1
IJ,24
IQ,53
IS,100
IT,91
JE,38
JM,129
JQ,87
JS,64
KB,59
KD,41
KR,82
KT,14
KU,54
KV,66
LE,96
LQ,47
LR,0
LZ,4
MK,22
MM,114
MO,46
MQ,128
NA,73
NE,116
NF,63
NJ,43
NN,140
NO,75
NQ,35
NR,117
OJ,103
ON,86
OP,42
OQ,70
OT,20
OU,104
OW,130
PE,90
PI,67
PO,37
PS,11
PT,6
QD,85
QI,81
QL,17
QP,102
QY,76
RG,113
RN,68
RQ,105
RR,107
SA,106
SB,110
SC,57
SK,135
SN,55
TD,115
TF,58
TJ,40
TL,30
TQ,83
TZ,123
UT,97
UU,34
UX,134
VA,31
VD,95
VE,45
VJ,9
VL,12
VN,19
VR,77
WD,69
WF,139
WR,36
WS,60
WU,109
WW,74
WX,112
XC,26
XE,124
XO,89
XY,80
XZ,44
YP,126
YR,3
YU,118
YY,125
ZD,93
ZN,131
